Abbreviation,Full_Name,Canonical_Key
chion,Chionanthus Virginica,chionanthus virginica
chlf,Chloroformium,chloroformium
chlol,Chloralum,chloralum
chlor,Chlorum,chlorum
chol,Cholesterinum,cholesterinum
chr-ac,Chromicum Acidum,chromicum acidum
chr-ox,Chromicum Oxydatum,chromicum oxydatum
cic,Cicuta Virosa,cicuta virosa
cimic,Cimicifuga Racemosa,cimicifuga racemosa
cimx,Cimex,cimex
cina,Cina,cina
cinch,Cinchonium Sulphuricum,cinchonium sulfuricum
cinch-b,Cinchona Boliviana,cinchona boliviana
cinnam,Cinnamomum,cinnamomum
cinnb,Cinnabaris,cinnabaris
cist,Cistus Canadensis,cistus canadensis
cit-ac,Citricum Acidum,citricum acidum
cit-l,Citrus Limonum,citrus limonum
cit-v,Citrus Vulgaris,citrus vulgaris
clem,Clematis Erecta,clematis erecta
cob,Cobaltum,cobaltum
coc-c,Coccus Cacti,coccus cacti
coca,Coca,coca
cocain-m,Cocainum Muriaticum,cocainum muriaticum
cocc,Cocculus Indicus,cocculus indicus
cocc-s,Coccinella Septempunctata,coccinella septempunctata
coch,Cochlearia Armoracia,cochlearia armoracia
cod,Codeinum,codeinum
coff,Coffea Cruda,coffea cruda
coff-t,Coffea Tosta,coffea tosta
colch,Colchicum Autumnale,colchicum autumnale
coll,Collinsonia Canadensis,collinsonia canadensis
coloc,Colocynthis,colocynthis
colos,Colostrum,colostrum
com,Comocladia Dentata,comocladia dentata
con,Conium Maculatum,conium maculatum
cond,Cundurango,cundurango
conv,Convallaria Majalis,convallaria majalis
conv-d,Convolvulus Duartinus,convolvulus duartinus
cop,Copaiva Officinalis,copaiva officinalis
cor-r,Corallium Rubrum,corallium rubrum
cori-r,Coriaria Ruscifolia,coriaria ruscifolia
corn,Cornus Circinata,cornus circinata
corn-f,Cornus Florida,cornus florida
corn-s,Cornus Seriea,cornus seriea
cot,Cotyledon Umbilicus,cotyledon umbilicus
croc,Crocus Sativus,crocus sativus
crot-c,Crotalus Cascavella,crotalus cascavella
crot-h,Crotalus Horridus,crotalus horridus
crot-t,Croton Tiglium,croton tiglium
cub,Cubeba Officinalis,cubeba officinalis
culx,Culex Moscæ,culex moscae
cupr,Cuprum Metallicum,cuprum metallicum
cupr-ac,Cuprum Aceticum,cuprum aceticum
cupr-ar,Cuprum Arsenicosum,cuprum arsenicosum
cupr-n,Cuprum Nitricum,cuprum nitricum
cupr-s,Cuprum Sulphuricum,cuprum sulfuricum
cur,Curare,curare
cycl,Cyclamen Europæum,cyclamen europaeum
cypr,Cypripedium Pubescens,cypripedium pubescens
daph,Daphne Indica,daphne indica
der,Derris Pinnata,derris pinnata
dig,Digitalis Purpurea,digitalis purpurea
dios,Dioscorea Villosa,dioscorea villosa
dirc,Dirca Palustris,dirca palustris
dol,Dolichos Pruriens,dolichos pruriens
dor,Doryphora,doryphora
dros,Drosera Rotundifolia,drosera rotundifolia
dub,Duboisinum,duboisinum
dulc,Dulcamara,dulcamara
echi,Echinacea Angustifolia,echinacea angustifolia
elaps,Elaps Corallinus,elaps corallinus
elat,Elaterium,elaterium
epig,Epigea Repens,epigea repens
equis,Equisetum Hyemale,equisetum hyemale
erech,Erechthites Hieracifolia,erechthites hieracifolia
erig,Erigeron Canadense,erigeron canadense
ery-a,Eryngium Aquaticum,eryngium aquaticum
ether,Ether,ether
eucal,Eucalyptus Globulus,eucalyptus globulus
eug,Eugenia Jambos,eugenia jambos
euon,Euonymus Europæus,euonymus europaeus
eup-per,Eupatorium Perfoliatum,eupatorium perfoliatum
eup-pur,Eupatorium Purpureum,eupatorium purpureum
eupho,Euphorbium,euphorbium
euphr,Euphrasia Officinalis,euphrasia officinalis
eupi,Eupion,eupion
fago,Fagopyrum,fagopyrum
ferr,Ferrum Metallicum,ferrum metallicum
ferr-ac,Ferrum Aceticum,ferrum aceticum
ferr-ar,Ferrum Arsenicosum,ferrum arsenicosum
ferr-i,Ferrum Iodatum,ferrum iodatum
ferr-m,Ferrum Muriaticum,ferrum muriaticum
ferr-ma,Ferrum Magneticum,ferrum magneticum
ferr-p,Ferrum Phosphoricum,ferrum phosphoricum
ferr-pic,Ferrum Picricum,ferrum picricum
ferr-s,Ferrum Sulphuricum,ferrum sulfuricum
fil,Filix Mas,filix mas
fl-ac,Fluoricum Acidum,fluoricum acidum
form,Formica Rufa,formica rufa
frag-v,Fragaria Vesca,fragaria vesca
gad,Gadus Morrhua,gadus morrhua
gall-ac,Gallicum Acidum,gallicum acidum
gamb,Gambogia,gambogia
gels,Gelsemium Sempervirens,gelsemium sempervirens
