Medicine,Symptom_Count,Max_Grade,Chapters_Covered,Top_Chapters,Aggravations_Sample,Ameliorations_Sample,Mind_Rubrics_Sample,Key_Rubrics_Sample
gleety,1,1,1,URETHRA(1),,,,
glon,985,2,21,HEAD(448); MIND(97); MOUTH(57); STOMACH(56); EYE(51); FACE(48),"ANXIETY, flatus, from (agg.) / headache, with | CHOKING, clothing agg. / headache, with | CLOTHING agg. | CONFUSION, thinking of it agg. / open air, in | CONFUSION, thinking of it agg. / waking, on | CONFUSION, thinking of it agg. / walking, while | CONFUSION, thinking of it agg. / will, strong effort of, amel. | CONGESTION, hyperæmia, etc. (See Fullness, Pulsation) / alcoholic liquors agg. | CONSTIPATION, alternate days, agg. / ineffectual urging and straining | CONSTIPATION, alternate days, agg. / insufficient, incomplete, unsatisfactory stools | CONSTRICTION, morning (agg.) / Forehead | CONSTRICTION, morning (agg.) / Occiput | CONSTRICTION, morning (agg.) / Temples | CONSTRICTION, morning (agg.) / amel. | CONSTRICTION, morning (agg.) / band or hoop","CONFUSION of mind (See Concentration) / amel. | CONFUSION, thinking of it agg. / will, strong effort of, amel. | CONSTRICTION, morning (agg.) / amel. | DIM, left eye / cold bathing amel. | HEAT, cold water, amel. / Forehead | HEAT, cold water, amel. / Occiput | HEAT, cold water, amel. / Temples | HEAT, cold water, amel. / Vertex | HEAT, cold water, amel. / chest, from | HEAT, cold water, amel. / extremities, with | HEAT, cold water, amel. / flashes of | HEAT, cold water, amel. / heart, during oppression of | HEAT, cold water, amel. / heat of face, with | HEAT, cold water, amel. / stove agg. | HEAT, cold water, amel. / walking, while","ANSWERS, abruptly, shortly, curtly / aversion to | ANXIETY | ANXIETY, flatus, from (agg.) / headache, with | APHASIA (See Speech, Mistakes, Forgetful) | AVERSION, approached to being / husband | CHEERFUL, gay, happy (See Mirth) | CHILDREN, aversion to / dislikes her own | CONCENTRATION active / difficult | CONFUSION of mind (See Concentration) | CONFUSION of mind (See Concentration) / amel. | CONFUSION of mind (See Concentration) / as after being | CONFUSION of mind (See Concentration) / intoxicated, as if | CONFUSION of mind (See Concentration) / loses his way in well-known streets | CONFUSION of mind (See Concentration) / waking, on | CONFUSION, thinking of it agg. / open air, in","[g2|MIND] ANSWERS, abruptly, shortly, curtly / aversion to | [g2|MIND] AVERSION, approached to being / husband | [g2|MIND] CHILDREN, aversion to / dislikes her own | [g2|MIND] CONCENTRATION active / difficult | [g2|MIND] CONFUSION of mind (See Concentration) | [g2|MIND] CONFUSION of mind (See Concentration) / loses his way in well-known streets | [g2|MIND] CONFUSION, thinking of it agg. / open air, in | [g2|MIND] CONFUSION, thinking of it agg. / will, strong effort of, amel. | [g2|MIND] DELUSIONS, body adherent to woollen sack, night, while half awake / chin, too long, is | [g2|MIND] DELUSIONS, die, time has come to / chin is | [g2|MIND] DELUSIONS, head, heavy, his own seemed too / not in right place, while walking in the street after headache | [g2|MIND] DELUSIONS, lip, lower, is swollen / lip, lower, is swollen | [g2|MIND] DELUSIONS, lip, lower, is swollen / chin seems too long | [g2|MIND] DELUSIONS, lip, lower, is swollen / crooked | [g2|MIND] DELUSIONS, stabbed, that he had, a person who passed him on the street / headache after | [g2|MIND] DULLNESS, sluggishness, difficulty of thinking and comprehending / gas light, after injurious effects of | [g2|MIND] DWELLS on past disagreeable occurrences / recalls old grievances | [g2|MIND] FEAR (See Anxiety) / waking, on | [g2|MIND] FEAR, labor, after / has been | [g2|MIND] FEAR, putrefy, body will / throat, from sensation of swelling of"
gnaph,28,1,10,ABDOMEN(7); STOOL(5); MOUTH(4); RECTUM(3); HEAD(2); STOMACH(2),"CONSTIPATION, alternate days, agg. / alternating with diarrhœa","PAIN, hypochondria, lying on back, amel. / Ilio-cæcal region","RESTLESSNESS, nervousness / night",
goitre,1,2,1,EXTERNAL THROAT(1),,,,[g2|EXTERNAL THROAT] GOITRE / constriction
goss,8,1,4,NOSE(2); MOUTH(2); STOMACH(2); ABDOMEN(2),,,,
gran,186,2,16,HEAD(45); STOMACH(29); ABDOMEN(26); MIND(14); FACE(14); RECTUM(14),"CONSTIPATION, alternate days, agg. / ineffectual urging and straining | PAIN, cramping, griping, sitting, while (agg.) / Umbilicus, region of | PAIN, cramping, griping, sitting, while (agg.) / stool, before | PAIN, cutting, hypochondria, coughing / dragging, bearing down | PAIN, pressing, hypogastrium, walking, while (agg.) / outward | PAIN, pressing, motion, on (agg.) / during | PAIN, sore, bruised, occiput, motion, on (agg.) / Brain | PAIN, sore, bruised, occiput, motion, on (agg.) / Forehead | PAIN, sore, clothing agg. / stitching | PAIN, stunning, stupefying, cold agg. / Forehead | PAIN, temples, stooping, from (agg.) / Temples and Forehead | PAIN, temples, stooping, from (agg.) / Vertex | PAIN, warmth of bed agg. / outward | PAIN, weather, warm, begins with the (agg.) / Forehead, in | PAIN, weather, warm, begins with the (agg.) / forehead","HEAT, cold water, amel. / Forehead | HEAT, cold water, amel. / evening | PAIN, bending double, amel. / during (colic) | PAIN, cramping, griping, bending forward amel. / during | PAIN, doubling up (See Bending) / amel. | PAIN, pressing, vertex, binding head up amel. / Shooting (See Cutting, Lancinating, Shocks, Stitches, etc.) | PAIN, rising, from sitting, amel. / walking, while (See Motion, Stepping)","ANGER, irascibility (See Irritability and Quarrelsome) | CENSORIOUS, critical | CONFUSION of mind (See Concentration) | CONFUSION of mind (See Concentration) / carousal, after a | DELUSIONS, imaginations, hallucinations, illusions | DISCOURAGED | EXCITEMENT, excitable | FEAR, warm room / headache, during | IRRITABILITY (See Anger) | MEMORY active (See Ideas) / do, for what was about to | REPROACHES, ailments, after / others | SENSITIVE, oversensitive (See Offended) | STUPEFACTION | TRANQUILITY","[g2|MIND] CONFUSION of mind (See Concentration) / carousal, after a | [g2|MIND] FEAR, warm room / headache, during | [g2|HEAD] HEAVINESS, motion, of eyes, on / painful | [g2|HEAD] PAIN, weather, warm, begins with the (agg.) / walking, while | [g2|HEAD] PAIN, pressing, forehead, eyes, over, menses, during / stool, during | [g2|HEAD] PAIN, tearing, occiput, sides of, moving head to left / eye | [g2|EAR] HEAT / pressure in occiput, during | [g2|FACE] HEAT, morning / stool during"
graph,1802,2,22,HEAD(275); MIND(234); STOMACH(163); FACE(157); ABDOMEN(153); EAR(152),"AGGLUTINATED | AGGLUTINATED / morning | AGGLUTINATED / night | AGGLUTINATION of meatus | ANXIETY, evening, bed, in (agg.) / after | ANXIETY, evening, bed, in (agg.) / bed, in | ANXIETY, evening, bed, in (agg.) / midnight, before | ANXIETY, evening, bed, in (agg.) / night | ANXIETY, evening, bed, in (agg.) / waking, on | ANXIETY, flatus, from (agg.) / amel. | ANXIETY, flatus, from (agg.) / during (See Dreams) | ANXIETY, flatus, from (agg.) / flushes of heat, during | ANXIETY, flatus, from (agg.) / future, about | ANXIETY, flatus, from (agg.) / menses, before | ANXIETY, flatus, from (agg.) / salvation, about","AIR, open, in / amel. | ANXIETY, flatus, from (agg.) / amel. | CLOSING eyes, on / amel. | CONFUSION, thinking of it agg. / amel. | ERUCTATIONS / ameliorate | ERUPTION, crusts, scabs, bloody / washing amel. | FEAR, warm room / weeping amel. | FLATUS / amel. | HEAT, cold water, amel. / Forehead | HEAT, cold water, amel. / Vertex | HEAT, cold water, amel. / after | HEAT, cold water, amel. / eating, after | HEAT, cold water, amel. / flashes of | HEAT, cold water, amel. / spots, in | IMPAIRED, mechanical injuries (See Concussion) / noise amel.","ABSENT-MINDED (See Forgetful) | ANGER, irascibility (See Irritability and Quarrelsome) | ANGER, irascibility (See Irritability and Quarrelsome) / violent | ANGUISH | ANGUISH / daytime | ANGUISH / menses, before | ANXIETY | ANXIETY / evening | ANXIETY / morning | ANXIETY / waking, on | ANXIETY, chill, during / conscience, of (as if guilty of a crime) | ANXIETY, chill, during / dreams, on waking from frightful (See Dreams) | ANXIETY, chill, during / fear, with | ANXIETY, chill, during / fever, during | ANXIETY, evening, bed, in (agg.) / after","[g2|MIND] ANGUISH / daytime | [g2|MIND] ANGUISH / menses, before | [g2|MIND] ANXIETY / morning | [g2|MIND] ANXIETY / waking, on | [g2|MIND] ANXIETY, flatus, from (agg.) / amel. | [g2|MIND] CONCENTRATION active / difficult | [g2|MIND] CONFUSION of mind (See Concentration) / after | [g2|MIND] DEATH, desires (See Loathing of Life) / thoughts of | [g2|MIND] DESPAIR, pains, with the, in the stomach / trifles, over | [g2|MIND] DISCOURAGED / waking, on | [g2|MIND] DULLNESS, sluggishness, difficulty of thinking and comprehending | [g2|MIND] DULLNESS, sluggishness, difficulty of thinking and comprehending / siesta, after | [g2|MIND] EXCITEMENT, excitable | [g2|MIND] FEAR (See Anxiety) | [g2|MIND] FORGETFUL (See Memory) / afternoon | [g2|MIND] FRIGHTENED easily (See Starting) | [g2|MIND] INDOLENCE, aversion to work | [g2|MIND] IRRITABILITY (See Anger) | [g2|MIND] LAUGHING / morning | [g2|MIND] LAUGHING, convulsions, before, during or after / reprimands, at"
grat,680,2,21,HEAD(140); STOMACH(111); ABDOMEN(104); MIND(62); RECTUM(56); FACE(32),"ANXIETY, evening, bed, in (agg.) / amel. | ANXIETY, flatus, from (agg.) / future, about | ANXIETY, flatus, from (agg.) / health, about | ANXIETY, flatus, from (agg.) / hypochondriacal | CONFUSION, thinking of it agg. / waking, on | CONFUSION, thinking of it agg. / walking, while | CONSTIPATION, alternate days, agg. / alternating with diarrhœa | CONSTIPATION, alternate days, agg. / difficult stool (See Inactivity) | CONSTIPATION, alternate days, agg. / ineffectual urging and straining | CONSTRICTION, morning (agg.) / Forehead | ERUCTATIONS, waterbrash, cool water / fasting agg. | LOSS of vision, headache, at beginning of / motion agg. | LYING, while (agg.) / amel. | PAIN, bending head, to one side (agg.) / closing eyes, on | PAIN, boring, temples, noon / cold agg.","AIR, open, in / amel. | ANXIETY, evening, bed, in (agg.) / amel. | COLDNESS, chilliness, etc. / amel. | CONGESTION, hyperæmia, etc. (See Fullness, Pulsation) / amel. | CONGESTION, mental exertion, from / amel., after | CRAWLING in (See Formication, Itching) / amel. | CRAWLING in (See Formication, Itching) / eructations amel. | FULLNESS, morning, 10 a.m. to 10 p.m. / air, in open amel. | FULLNESS, sensation of / flatus, passing, amel. | HEAT / amel. | HEAT, cold water, amel. / Forehead | HEAT, cold water, amel. / Vertex | HEAT, cold water, amel. / dinner, during | HEAT, cold water, amel. / from stooping | HOUSE, in / amel.","ABSORBED, buried in thought | ANGER, irascibility (See Irritability and Quarrelsome) / contradiction, from | ANGER, irascibility (See Irritability and Quarrelsome) / violent | ANSWERS, abruptly, shortly, curtly / reflects long | ANXIETY | ANXIETY, chill, during / fever, during | ANXIETY, evening, bed, in (agg.) / amel. | ANXIETY, flatus, from (agg.) / future, about | ANXIETY, flatus, from (agg.) / health, about | ANXIETY, flatus, from (agg.) / hypochondriacal | CAPRICIOUSNESS | COMPANY aversion to | CONCENTRATION active / difficult | CONFUSION of mind (See Concentration) | CONFUSION of mind (See Concentration) / dream, as if in","[g2|MIND] DELUSIONS, die, time has come to / small | [g2|MIND] DISCONTENTED, displeased, dissatisfied, etc. / afternoon | [g2|MIND] FEAR, dawn, of the return of / when hungry | [g2|MIND] NYMPHOMANIA | [g2|MIND] TALK, desires to, to some one / 1 p.m. | [g2|VERTIGO] EATING, while | [g2|VERTIGO] EATING, while / after | [g2|VERTIGO] HEAT, from / of room | [g2|HEAD] CONGESTION, mental exertion, from / riding, from | [g2|HEAD] CONGESTION, mental exertion, from / amel., after | [g2|HEAD] HEAT / abdomen, from pain in | [g2|HEAD] HEAT, cold water, amel. / dinner, during | [g2|HEAD] HEAT, cold water, amel. / from stooping | [g2|HEAD] HEAVINESS, motion, of eyes, on / from stooping | [g2|HEAD] MOTIONS, in head, nodding the head, on / sitting, while | [g2|HEAD] PAIN, listening to reading and talking / abdomen, on, amel., occipital pain | [g2|HEAD] PAIN, occiput, bending head backward, amel. / abdomen, on, amel. | [g2|HEAD] PAIN, occiput, bending head backward, amel. / screwed together, as if | [g2|HEAD] PAIN, occiput, bending head backward, amel. / sneezing | [g2|HEAD] PAIN, temples, stooping, from (agg.) / scratching amel."
green,1,2,1,STOOL(1),,,,[g2|STOOL] GREEN / brownish
grief,1,2,1,MIND(1),,,GRIEF / daytime,[g2|MIND] GRIEF / daytime
